epoch,box,cls,dfl,tv,nps,mAP50,mAP50-95,fitness
1,1.3228291273117065,1.5210196757927918,1.2539790868759155,0.17858495923414572,0.00041477458897787024,0.9409103058922258,0.635617569345333,0.6661468430000224
2,1.3188028243871837,1.5770620168783727,1.2471789091061323,0.26929617119141114,0.00043574716815223487,0.9380904408152428,0.6252760766519494,0.6565575130682788
3,1.3319985744280693,1.672581333380479,1.2443952438158867,0.32512332384402937,0.0004390981287146226,0.9334063026694165,0.6227501893108713,0.6538158006467258
4,1.3303114787126198,1.7592917466774964,1.2463160080787463,0.3596723293646788,0.00043671685927666916,0.9350956979068232,0.6262985643069439,0.6571782776669318
5,1.334538527024098,1.8001319811894343,1.249467751918695,0.3818365068007738,0.00043393935611208854,0.9312060502763909,0.61840723910073,0.6496871202182961
6,1.3442777425814898,1.841872588182107,1.2466846307118733,0.39441887614054555,0.0004311934813486938,0.9286545114887524,0.6190851058913208,0.650042046451064
7,1.3515214858910976,1.8906968801449506,1.2544752756754558,0.40094700302833164,0.0004292507424580459,0.9287959363508972,0.615628354693349,0.6469451128591038
8,1.3541025870885603,1.9325828216014764,1.2570117467488997,0.4097531155133859,0.0004274052223011565,0.9288048175169262,0.6189356529542336,0.6499225694105029
9,1.3605707241938665,1.9554506418032525,1.2601008812586467,0.41726721326510113,0.00042650419457529025,0.9273237276768845,0.6162455879522212,0.6473534019246875
10,1.3521484044881968,1.976411040012653,1.2534591418046217,0.424408882856369,0.0004255922484354904,0.9259757993798499,0.6106666666714294,0.6421975799422716
11,1.3520561823478112,1.9869483739901812,1.2492849093217115,0.43076517184575397,0.00042510977110419516,0.9260466462591287,0.6178739583484579,0.648691227139525
12,1.3600165874530108,2.018375503711211,1.258195222952427,0.430836083033146,0.000424727812433281,0.9248393403498543,0.615225728010244,0.6461870892442051
13,1.3576450989796565,2.044233392446469,1.2566095223793616,0.4298696991724846,0.000424614855243514,0.9260310177862089,0.6145809725529242,0.6457259770762527
14,1.3489630161187587,2.060901531806359,1.25226048934154,0.43277964836511856,0.00042498009264445264,0.9203925004731673,0.6090241339842153,0.6401609706331105
15,1.3530739301290267,2.0845753199014907,1.253379442752936,0.43764859514358717,0.00042585321054316294,0.9226499286053776,0.6131518001992007,0.6441016130398184
16,1.371468837444599,2.1290843058855105,1.2650950933114076,0.4398527214160332,0.00042766939478520397,0.9215180853904545,0.6114406174058982,0.6424483642043538
17,1.3629712141477144,2.1094638384305515,1.260393616480705,0.4416665006906558,0.0004296373487868084,0.9187687382478583,0.6106982746520857,0.641505321011663
18,1.3656664719948401,2.1382078543687477,1.2592039352808244,0.452204534640679,0.00043220207683192805,0.9225294034012917,0.6106427180023185,0.6418313865422158
19,1.372203460106483,2.1546138494442673,1.2621553647212493,0.4591764662510309,0.0004354703646057691,0.9196359583642199,0.6110117389273454,0.6418741608710329
20,1.375140327673692,2.1685561522459373,1.2610080547821827,0.4626047955109523,0.00043869878908690926,0.9208467902168622,0.6091541921098464,0.6403234519205481
21,1.363642992117466,2.1894791401349583,1.2607065500357213,0.4618208056841141,0.0004421521055822571,0.9220163799618137,0.6112794047629425,0.6423531022828297
22,1.3715939307824159,2.176254290800828,1.2629270186791053,0.46527293171638096,0.00044484286291453126,0.9194627302427243,0.6095407036249283,0.640532906286708
23,1.367263634999593,2.194004957492535,1.260503771977547,0.46416528408343977,0.00044805979436764924,0.9178096287620087,0.6042333430460773,0.6355909716176705
24,1.3815004672759619,2.2376193694579296,1.2677332254556508,0.46213144063949585,0.0004516150182984674,0.9168170681122696,0.6065634069133705,0.6375887730332604
25,1.371976152444497,2.241878527861375,1.2615156509937384,0.45911868718954235,0.000453877232174795,0.9167862292491519,0.6104062105381134,0.6410442124092173
26,1.3724202406712067,2.254265831067012,1.2653932877075977,0.4621589963252728,0.0004570677410811186,0.9139392758152549,0.604066961705756,0.635054193116706
27,1.3780995179445317,2.2742636662263136,1.2672144510807135,0.46569621562957764,0.0004611024983788435,0.9194237814566151,0.6094248761471668,0.6404247666781117
28,1.3658198026510386,2.3239106276096444,1.2655778084045801,0.46946567908311504,0.00046542547837210196,0.9142353438427202,0.604529169060888,0.6354997865390712
29,1.3814279116117036,2.3642931351294885,1.2677323848773272,0.48051114342151546,0.000471552871973612,0.9121926648365333,0.6088222620326024,0.6391593023129954
30,1.3881577742405427,2.4420726268719406,1.2728460079584367,0.49188277201774794,0.0004792594677732828,0.9055167595968941,0.5966909635457048,0.6275735431508237
31,1.3877631425857544,2.5170648220257883,1.268608068808531,0.5044308243653713,0.00048774909989263577,0.9097389088305217,0.5975424496772458,0.6287620955925735
32,1.398309038235591,2.635449385031676,1.2784087352263622,0.5166666400738251,0.0004979527364365566,0.9089591567130714,0.5953425759273545,0.6267042340059262
33,1.4149358486517882,2.725685174648578,1.2865779644403703,0.5278992469494159,0.000508766194495062,0.8936817124548089,0.584105560761843,0.6150631759311396
34,1.4336198262679272,2.870251790071145,1.3045287804725842,0.5387650498977075,0.0005184854903162863,0.8888828057661731,0.5840186408556158,0.6145050573466716
35,1.4408330856225429,2.961706885924706,1.305755120057326,0.5544545314250848,0.0005291272745802043,0.8775593520712789,0.5663733683049184,0.5974919666815545
36,1.5027068486580482,3.271196744380853,1.3565378830983088,0.5783109496801327,0.0005428775971850905,0.793385467447326,0.5048692539212033,0.5337208752738156
37,1.5814630465629773,4.017475812863081,1.4165592285302968,0.6254745110487326,0.0005653681224570251,0.7472762233763455,0.4686945860227968,0.49655274975815167
38,1.6075735306128478,4.3021030853956175,1.42887221238552,0.6650878114578052,0.000589188283834702,0.7401352893730823,0.4639980815339196,0.49161180231783586
39,1.611404082713983,4.487546236087114,1.4345071010100536,0.689163285952348,0.0006073561664193105,0.7215188723778048,0.45459847859590125,0.4812905179740916
40,1.6224937224999452,4.628820260365804,1.439039905865987,0.699916830429664,0.0006207567982924863,0.7131285943856187,0.4492634805166518,0.4756499919035485
41,1.6357697890355036,4.738261980888171,1.44924551095718,0.710886938449664,0.0006343058104483554,0.732345095354487,0.4559785276357994,0.48361518440766815
42,1.6370338446054704,4.850161014459072,1.4603238931069007,0.716673446007264,0.0006447804521602124,0.7171995809538426,0.44391895782111435,0.4712470201343872
43,1.6424972613652546,4.9226095126225395,1.4668751710500472,0.7283110450475644,0.0006557707555401019,0.7144022359026956,0.43898034433982797,0.4665225334961148
44,1.6743168830871582,5.035374751457801,1.4870584775239994,0.733286243218642,0.00066356794634022,0.71204451186782,0.4406711517344398,0.46780848774777783
45,1.6417749569966242,5.010105756612925,1.4663460988264818,0.7390845601375287,0.0006711410242132843,0.6904407397962876,0.4286635229589425,0.454841244642677
46,1.6682430933683345,5.079830041298499,1.4847584810012426,0.7414641915223538,0.0006769311014347925,0.7113034957919834,0.4381085358380446,0.4654280318334385
47,1.6566519737243652,5.27101687895946,1.4788253490741436,0.7419727811446557,0.0006824252404606877,0.7100465884859344,0.432774537927369,0.46050174298322555
48,1.688185187486502,5.205395588508019,1.5026208070608287,0.7433751897934155,0.000687557989015029,0.7136708210454993,0.43752022225679676,0.46513528213566707
49,1.6846223030334864,5.339377421599168,1.4984190800251105,0.7413706886462677,0.0006910688766182807,0.6975385996534635,0.4256643418275112,0.45285176761010637
50,1.6743066494281476,5.365453817905524,1.4923209654979217,0.7406383370741819,0.0006947562692519755,0.699509938700224,0.42820271056774784,0.45533343338099547
